τ_vals,μ=1.0,μ=0.9,μ=0.8,μ=0.5
1360.0,0.4883094147694518,0.686276137404118,0.8455682629211652,0.5674953354384569
1360.066552902,0.5510237337728953,0.7413147769281653,0.8920500706764507,0.7478541865467466
1360.133105804,0.6150614538184729,0.7927986742607174,0.9236475272329765,0.754762501495304
1360.199658706,0.6704925676464382,0.8407479463002556,0.9493458415522902,0.5522891678627605
1360.266211608,0.7289862237015772,0.8827902225542233,0.9748402747668271,0.7111037571461498
1360.33276451,0.7844292500306398,0.9191743125367996,0.9900421536186582,0.7140941505124612
1360.399317412,0.8290676780011441,0.9496360190324773,0.9932713156902095,0.5035840081377825
1360.465870314,0.8746406381145679,0.9723951293575073,0.9942054252975865,0.6386451515591163
1360.532423216,0.9139247190614325,0.988294819225994,0.9899855480242716,0.6371292778900669
1360.598976118,0.9406543135939671,0.9970688610434972,0.9706132234410022,0.42806252552007557
1360.66552902,0.9670322204272787,0.9974808550713102,0.9473745084723604,0.540485874753617
1360.732081922,0.9860694489180268,0.9909217242426448,0.9234072625094694,0.5333227602581648
1360.798634824,0.9912987064689891,0.9773900447935417,0.8845648268872156,0.3362350191741318
1360.865187726,0.9955101295227031,0.955972158434347,0.8413827903672801,0.42995505100868825
1360.931740628,0.9936619357181025,0.9283357459416927,0.800193948766669,0.4157711758140534
1360.99829353,0.9772656282210388,0.8949439050759429,0.7472323315388266,0.24105399366696584
1361.064846432,0.9591181980186997,0.8550050900225257,0.6910266868685905,0.3218618407908806
1361.131399334,0.937911718481605,0.8101061410846713,0.6375719545928266,0.29934798834841553
1361.197952236,0.9021664893581571,0.7613081507177082,0.5769153173985564,0.15618880649525602
1361.264505138,0.8634578852697739,0.7079287777249167,0.51580335835779,0.23051862259353323
1361.33105804,0.8255626814868167,0.6512033596484864,0.4568830942033399,0.19857856457815243
1361.397610942,0.7744173801517391,0.5928334393990612,0.3954536578845442,0.09422001724503143
1361.464163844,0.7189830096414113,0.5324114956869282,0.33758024851848806,0.16796027754454013
1361.530716746,0.6684293542943684,0.4707179365618367,0.28123580244800356,0.12564507703572816
1361.597269648,0.6076733625331148,0.4099683087963679,0.2263894604169603,0.06495362554866035
1361.66382255,0.5421134535392959,0.3501852631031598,0.17917123831789566,0.14253759220157475
1361.730375452,0.48517459521715833,0.2917177980802975,0.13378784990156856,0.08879332201483295
1361.796928354,0.42268853550801666,0.23694154419518426,0.09303889308694271,0.07399386342147359
1361.8634812560001,0.3564208156558628,0.18624948366742267,0.06244458844113275,0.15792993912810732
1361.930034158,0.3015736618755746,0.13963973789603165,0.03528864686742815,0.09128968409814113
1361.99658706,0.24639210935186548,0.09913540395846301,0.015214961956859362,0.1217395129524194
1362.063139962,0.18992661701628544,0.06519592889384382,0.004853750020277723,0.2126219201671076
1362.129692864,0.14602256824889953,0.037604066269390266,0.00033442781640347514,0.13103059800932843
1362.196245766,0.1060751554727093,0.01756666429735163,0.004898848846668068,0.20304587790908493
1362.262798668,0.06808342237600705,0.0052434469662070516,0.015268413293809374,0.29996940674940753
1362.32935157,0.04171495420436518,0.0004365234482971532,0.03377730462224556,0.2008928821655569
1362.395904472,0.021701100414587175,0.0033285987967703982,0.06304451401848855,0.30777925886106133
1362.462457374,0.006834811759232234,0.013576070307845597,0.09156321860530735,0.4089826559377025
1362.529010276,0.0008679151892832048,0.03130405423196485,0.12960001574631155,0.2898274863899239
1362.595563178,0.0018647238190535244,0.055755656083097724,0.17967186650288,0.42228815722723634
1362.66211608,0.010705570130925015,0.08611263748853774,0.2216441894085343,0.5257907427197663
1362.728668982,0.024835660202944868,0.12303623754762325,0.27307344570048925,0.38452228622096973
1362.795221884,0.04557198934927653,0.1650594334580119,0.3371402911775932,0.5315086255746713
1362.861774786,0.076058550428869,0.21104425574350427,0.3870275985515232,0.6355201915686661
1362.928327688,0.10822416042468946,0.2621394937209864,0.4445626703815401,0.4713020027036447
1362.99488059,0.1463333165187371,0.316375559735505,0.5142429082045142,0.6212193726102805
1363.061433492,0.19480989688407258,0.37245281552484755,0.5664082349372479,0.7242124746917085
1363.1279863940001,0.2417005448049416,0.4316935261277794,0.6225545830413469,0.5379218676154566
1363.194539296,0.29359910148585394,0.4917807090304289,0.6888867278818476,0.6800016518279914
1363.261092198,0.3546062174219534,0.5514083146592563,0.7376178821388051,0.7804997412635355
1363.3276451,0.410962820439709,0.6116905996743747,0.7851248442178571,0.5750448806057198
1363.394198002,0.4708587483262164,0.6701467040097484,0.8393404365640887,0.7006683244821701
1363.460750904,0.5366542104699416,0.7256846291574115,0.8787468988521862,0.7969364469704526
1363.527303806,0.5947635692444189,0.7790042066726424,0.9111691490742658,0.5773368097183509
1363.593856708,0.6544642097851404,0.8277125547364212,0.9457577339365907,0.6811085060938635
1363.66040961,0.7157804819280962,0.8712149641788769,0.9702451517384547,0.7709603845154736
1363.726962512,0.7665389264196294,0.9098652694063576,0.9829272550790203,0.5441470135418119
1363.793515414,0.816950962253213,0.941596122522488,0.9930794278360274,0.6245323444035393
1363.860068316,0.865166100310246,0.9665250327927514,0.9984705840214413,0.7053805925473786
1363.926621218,0.9004816929761742,0.9849173252858177,0.9895540253247455,0.47968405539001463
1363.99317412,0.933982779511023,0.9951305686325302,0.9743684398821588,0.5390615696268758
1364.059727022,0.9633218854695492,0.9979803620800265,0.9590649182376282,0.6081967495682659
1364.126279924,0.978268920598456,0.9939266370727248,0.9298274505690379,0.39256778654333807
1364.192832826,0.9903444581150086,0.9816901108804583,0.892510997085716,0.4366426418142258
1364.259385728,0.9986140450816464,0.9625016929523152,0.8580249579310423,0.49161132200305746
1364.32593863,0.9919937523927342,0.937213435469991,0.8123219634837757,0.2947316720036821
1364.3924915320001,0.9813399767192992,0.9048061858127345,0.7592051494682402,0.33140957747692307
1364.459044434,0.9690472389201953,0.8665087495865894,0.7098998361162443,0.3703199377051451
1364.525597336,0.9424632348262408,0.8236567956700963,0.6531946209666031,0.19981679477088599
1364.592150238,0.9101986409308338,0.775502994715298,0.5921600487880636,0.2377881726086622
1364.65870314,0.8793157682130995,0.7229348577164838,0.5345439924235065,0.2594075682703936
1364.725256042,0.8360582268280304,0.6677710993666452,0.4732431771689647,0.12131871104804538
1364.791808944,0.7853089030357157,0.6096969042428801,0.4123978486540622,0.1686705809054534
1364.858361846,0.739047046088213,0.5491319779927786,0.3543390243680912,0.1722690029602923
1364.924914748,0.6838803938544965,0.4882673634605118,0.2956451460381196,0.07074928906454249
1364.99146765,0.6202264047038354,0.42738386965094444,0.24257970689401956,0.1338751647207583
1365.058020552,0.5638828724997289,0.3664950590607594,0.1924241576157105,0.11887979408718424
1365.124573454,0.5034926004018885,0.3079029792913279,0.1441778590638631,0.05600905615789999
1365.191126356,0.435381925023993,0.2524330150780132,0.10547734151981196,0.13896384437085924
1365.257679258,0.37688824432850443,0.19982523041262185,0.07080906655629207,0.10458586206184257
1365.32423216,0.3196792227055668,0.15210238035409251,0.04059926286083304,0.08013872326740183
1365.390785062,0.25744474442565624,0.11028207016392196,0.021114340264113823,0.18445855090342472
1365.457337964,0.20621612057879257,0.07396398840102536,0.007182072558351562,0.12949010748528156
1365.523890866,0.1606226300826391,0.044512201538290774,0.0006429509631307879,0.1406633890760422
1365.5904437680001,0.11390028433492153,0.022628529120143466,0.002554414747068971,0.2655842888529969
1365.6569966700001,0.07819393747453762,0.00793779158273147,0.010975460189670636,0.1885069959908476
1365.723549572,0.05031051926142141,0.0009618976284492183,0.030086881354119552,0.22976402788227307
1365.790102474,0.025378301235374566,0.0016934954182752189,0.052383684652900414,0.3727227492907679
1365.856655376,0.00999504720405867,0.010020282951818223,0.08090627086409483,0.2721297739673342
1365.923208278,0.0023220745660139644,0.025703876762738158,0.12333842343079049,0.33538404467797917
1365.98976118,0.0011984086513911608,0.047920147641543676,0.16224052308478296,0.49264611480623
1366.056314082,0.007135775796537408,0.0770540840802516,0.2057350525528927,0.36782906903220375
1366.122866984,0.019255405601996182,0.11233367535444495,0.26554378312743987,0.4431059814734029
1366.189419886,0.04076041935983636,0.15225655263261545,0.3156484563844837,0.6103464461483655
1366.255972788,0.06648192035707479,0.19776802343260302,0.3676219526138629,0.46182865999287687
1366.32252569,0.0965351836836839,0.24773997713920753,0.4366483614429949,0.5383780836840819
1366.389078592,0.1377078976566784,0.3002293709255972,0.4919829461734313,0.7110738276538867
1366.455631494,0.180233681046286,0.3565423195437887,0.5456788766936052,0.5409230966159375
1366.522184396,0.22542664704252083,0.4152454594669975,0.6148044406008374,0.6086115534890036
1366.588737298,0.2817838366411691,0.4742109268667826,0.6692160182857326,0.7822057199815788
1366.6552902,0.3364904779491986,0.5347522469603929,0.7180149270942483,0.594080440099176
1366.721843102,0.3922629113053788,0.5951448380411029,0.7780649595216075,0.6448236758278407
1366.788396004,0.45717420004308373,0.6533724878030847,0.825197145447535,0.8147490802039151
1366.8549489060001,0.517092093531707,0.7104840768745315,0.8628318033653681,0.6137250304320145
1366.9215018080001,0.5763313506018644,0.7645650427378263,0.9055554276127109,0.6427114263547857
1366.98805471,0.6410694452448873,0.8140561580874505,0.9391449581793258,0.8044312919311201
1367.054607612,0.6972951515724521,0.8597173176510712,0.960328257588072,0.5966711123229391
1367.121160514,0.7510702965575475,0.8996416203416437,0.979758936472575,0.6031408756494733
1367.187713416,0.8064322103178446,0.9330157736328201,0.994633750227827,0.7523312354193598
1367.254266318,0.8501589538746598,0.9605113675004299,0.9960618179640329,0.5446299066731515
1367.32081922,0.8899158916034592,0.9804188744540352,0.989873272411482,0.5320209873904974
1367.387372122,0.9285967443230005,0.992736743310557,0.983268994162408,0.6649022237936314
1367.453925024,0.9535691621476422,0.9983135128011189,0.9643791027707473,0.4641394420311205
1367.520477926,0.9733267245442105,0.9957301399019278,0.9344371238768238,0.4395221541803762
1367.587030828,0.991396362020447,0.9855630271835409,0.9068643873436897,0.5532246822992262
1367.65358373,0.9951319005435885,0.9690133996682396,0.8698324691952294,0.36580004713361247
1367.720136632,0.9923302298745557,0.9449770838468512,0.821514677360837,0.338698145755175
1367.786689534,0.9890042523560771,0.9141822282583324,0.7767271055500742,0.4314930405398444
1367.853242436,0.9722534481642288,0.8782179979850674,0.7258310737717513,0.2628602553479954
1367.919795338,0.9472382994251358,0.8363599111888111,0.6665116748370423,0.24373044500193833
1367.98634824,0.9236973427845167,0.7890990570319913,0.6107517481645471,0.31499507919518643
1368.052901142,0.8891283113672434,0.7383435065584476,0.5517040125044176,0.169379869681224
1368.1194540440001,0.8444013597676605,0.6839107233959292,0.4892924573666655,0.16810103566744772
1368.1860069460001,0.8031410132226424,0.6258890237015127,0.4303047068229507,0.2179964538555953
1368.252559848,0.7546672597682484,0.5663734491877803,0.3699678469423154,0.09827615708808468
1368.31911275,0.6948894003909427,0.5058902423634917,0.3120971480313886,0.12293986973798875
1368.385665652,0.6402792379162026,0.44419436038823323,0.25816961756076795,0.1519002935076576
1368.452218554,0.5834252169034386,0.3833714003006937,0.2044050056396074,0.059518848145352896
1368.518771456,0.515907108625728,0.3246314885578048,0.15809829496425348,0.11565939596372093
1368.585324358,0.45506860664945836,0.26756155085425937,0.11699247965249872,0.12388580478925085
1368.65187726,0.397335917347599,0.21397304728374034,0.0779640070553137,0.05867179954692463
1368.718430162,0.33172304834215705,0.16541565426977942,0.049145571297882794,0.14892657419054547
1368.784983064,0.27411200618831977,0.12143165745416153,0.026756140298839666,0.13609766472294976
1368.851535966,0.22402943546029502,0.08329553797694876,0.009356619953480614,0.09596994524340033
1368.918088868,0.17034190406026775,0.05232053623750962,0.001895497849356389,0.22009168527731143
1368.98464177,0.12546855676195984,0.02807746970070953,0.0009460697004777976,0.1854357217035561
1369.051194672,0.0903411371162332,0.0111819640350659,0.008891767493838444,0.16614289084179476
1369.117747574,0.056197297128376504,0.002171602324611458,0.02362225067986764,0.3212872297972056
1369.184300476,0.03081532563252504,0.0007555993709351654,0.04310781022397146,0.2640102825603684
1369.250853378,0.014753056073617557,0.006995864505527214,0.0757811293622481,0.25913587538167115
1369.3174062800001,0.0036890934689735363,0.020395311130881423,0.11027332708830476,0.44035981132552465
1369.3839591820001,0.000467615205380337,0.04097667293349318,0.146091404961521,0.36026141637238984
1369.4505120840001,0.004202953714300494,0.068498076224944,0.19878585542193322,0.3616712653811935
1369.517064986,0.016099133668478104,0.10148995000721424,0.2481148846449106,0.562559011367969
1369.583617888,0.034365550100744824,0.14042012931192366,0.2944961624497086,0.4605762782861939
1369.65017079,0.05657888614250897,0.18493484276802263,0.35971168786069696,0.4593300869273376
1369.716723692,0.08918611381514366,0.23284140951382687,0.4176425036879583,0.672633905841879
1369.783276594,0.12634217406083936,0.2850013367604729,0.4684311481044102,0.5510982904988897
1369.849829496,0.16474174941039832,0.3409475822097948,0.5373035915478701,0.5386931168339537
1369.916382398,0.214475860886627,0.39806834863714974,0.5970955321082735,0.7568909869919161
1369.9829353,0.26641604424759213,0.45738568098196025,0.6462640898606378,0.6194304144038019
1370.049488202,0.31739777400676444,0.518183790880568,0.7096021407097571,0.5891559162906684
1370.116041104,0.37885697493086196,0.5777664327971878,0.7642639140583335,0.8048997508534164
1370.182594006,0.4393685584465052,0.6370722405707826,0.8059209330343555,0.6560723204815798
1370.249146908,0.496980072361904,0.6950460825834941,0.8550935101710406,0.6042307360352372
1370.31569981,0.5624263175008322,0.7492879285389191,0.8976496053700264,0.8107376315073999
1370.382252712,0.6230625744024001,0.8005866229406129,0.9262680703592525,0.6555508376828112
1370.448805614,0.6789709214529983,0.8476177709642663,0.9543938878010496,0.5822960849623603
1370.515358516,0.7392035557001533,0.8886340114376993,0.978742729815651,0.7737508733579588
1370.5819114180001,0.7907541514241425,0.9244237605861313,0.9899585745874573,0.6171922579497771
1370.6484643200001,0.835947006386897,0.953586866786098,0.9932967389714734,0.5267744574825367
1370.7150172220001,0.8825016788172173,0.9752011536668113,0.9955647081017287,0.6987451314640214
1370.781570124,0.9174810920640614,0.9902886800620908,0.9871655872632453,0.5453888669134213
1370.848123026,0.9447175616012188,0.9975762005562748,0.9659956114194623,0.4456901057616116
1370.914675928,0.971916702189499,0.9968398529113943,0.945666494804707,0.5954602119189454
1370.98122883,0.9863830960892523,0.9894795601614522,0.9181149014290045,0.44917972462332145
1371.047781732,0.9917659378921146,0.9745007140298921,0.8764736763572707,0.3506046732178754
1371.114334634,0.9972886452122187,0.9520087314181811,0.8366219089129392,0.4772773495907375
1371.180887536,0.9908856545193933,0.9237542673654902,0.7928666059383179,0.34108795233705225
1371.247440438,0.9738504206276507,0.8891574516211405,0.7372577549784091,0.25506674431333026
1371.31399334,0.9579055897807085,0.8482582403468888,0.6838317363181027,0.3593367690622219
1371.380546242,0.9325988007726955,0.8030033731597506,0.6287590873316605,0.23537183651972357
1371.447099144,0.8950454999757599,0.7533986101068776,0.5666474775747625,0.1728363428638921
1371.513652046,0.8594490770254631,0.6992195065642001,0.5073049060884154,0.25644026518735097
1371.580204948,0.8184369708049519,0.6424202199962223,0.44732135398970607,0.1460066667776209
1371.64675785,0.7642497607819504,0.5837548311754561,0.3862027705045345,0.11614958619600213
1371.713310752,0.7125437829579452,0.5227920463996643,0.3292029576575026,0.18113105426916912
1371.779863654,0.6603164821822918,0.46132139988607485,0.2719873724389435,0.08473001875082974
1371.8464165560001,0.5956636590068649,0.40084887475048026,0.21910832829159332,0.09418554470312093
1371.9129694580001,0.5340235454868453,0.3409179293098226,0.17233105337755888,0.1421958646395821
1371.9795223600001,0.4770375693524622,0.28299251934695435,0.12625932058258968,0.059401045880211355
1372.046075262,0.4105272046938888,0.22903500261600818,0.08835989220879106,0.11181223448272655
1372.112628164,0.34797090690946325,0.17867919968593413,0.05821734508693141,0.1436724196176572
1372.179181066,0.29445978378122084,0.1329225739008779,0.030995715871980776,0.07285649206828802
1372.245733968,0.23593345531347237,0.0936170129014605,0.013475025676856914,0.16872233538441359
1372.31228687,0.18266534397151366,0.06046836080509562,0.0037152492711405674,0.18439542590972932
1372.378839772,0.14083711756139394,0.03396321867234669,0.0004650807315873065,0.12243833855581243
1372.445392674,0.09884498384334511,0.015233250548533833,0.006116446647286812,0.25917448220276795
1372.511945576,0.06333276123026073,0.004001813928440874,0.01702435263027128,0.2581520627840854
1372.578498478,0.03897466166634097,0.00038024455645295724,0.038776098624356464,0.20034764851210032
1372.64505138,0.018531786239105015,0.004401607966344283,0.06691711616478513,0.37256837772802887
1372.711604282,0.005320472143221632,0.015841364344081725,0.09551445941019646,0.3545096932034838
1372.778157184,0.0006630227592706215,0.034715089322270284,0.13899269166040412,0.294847207853701
1372.844710086,0.0028769262639952837,0.059923464161723575,0.18565892252881835,0.4948928958274265
1372.911262988,0.01252998652873437,0.0914104575188026,0.22689082153769946,0.46024382035288347
1372.97781589,0.027023639959021628,0.1293361355835136,0.28558037923019847,0.3921038096185044
1373.0443687920001,0.050410569194738825,0.17168210439719572,0.34459477946956135,0.6107818208079434
1373.1109216940001,0.08090367251856034,0.21862861467255365,0.39272688678689704,0.5611117870764786
1373.1774745960001,0.11262101063870442,0.2704966090420337,0.4583803752075092,0.47827199237230833
1373.2440274980002,0.15436447440382406,0.3246476782340199,0.5224838080285715,0.7057123876591607
1373.3105804000002,0.2020798574317661,0.38142963243956063,0.5718628083812879,0.6436453252565593
